Type;Record;Author;Year;Journal;Title;Series;Published;Volume;Pages;Date;ShortTitle;Label;Keywords;Abstract;Language;Notes
;889; V. Y. Semashko, Cherenkov, A.E., Tertitski, G.M. ;2012;; Current breeding population of sea birds on islands in the Onega Bay of the White Sea and its trends;; Apatity;;140-168;; Current breeding population of sea birds on islands in the Onega Bay of the White Sea and its trends;;;Currently islands of the Onega Bay are breeding areas for 17 seabird species. Since 1960s four new bird species — Great Cormorant (Phalacrocorax carbo), Shelduck (Tadorna tadorna), Little Ringed Plover (Charadrius dubius) and Great Black-backed Gull (Larus marinus) have enriched the avifauna of the islands. Within the same timeframe the population of six species - Common Eider (Somateria mollissima), Arctic Skua (Stercorarius parasiticus), Herring Gull (Larus argentatus),Mew Gull (Larus canus), Lesser Black-backed Gull (Larus fuscus fuscus) and Razorbilll (Alca torda) has increased. Population of gulls and Common Eider has increased more than twice. Population of six species - Ringed Plover (Charadrius hiaticula), Turnstone (Arenaria interpres), Oystercatcher (Haematopus ostralegus), Arctic Tern (Sterna paradisaea), Black Guillemot (Cepphus grille) and Puffin (Fratercula arctica) most probably has not changed since 1960s. Most common species populating over 50% of the islands include Common Eider, Oystercatcher, Mew Gull, Herring Gull and Arctic Tern.; Russian;
;872; M. V. Gavrilo;2013; Russskii ornitologicheskii zhurnal (Russian Ornithological Journal); Long-tailed duck Clangula hyemalis and the Sabin’s gull Xema sabini – new species in the avifauna of the Franz Josef Land archipelago.;;;22;447-448;; Long-tailed duck Clangula hyemalis and the Sabin’s gull Xema sabini – new species in the avifauna of the Franz Josef Land archipelago.;;;; Russian;
;879; M. V. Gavrilo;2013; Russskii ornitologicheskii zhurnal (Russian Ornithological Journal); Modern status of the Great Skua Catharacta skua in the north-eastern Barents Sea;;;22;1779-1784;; Modern status of the Great Skua Catharacta skua in the north-eastern Barents Sea;;;; Russian;
;842; A. A. Goryaeva;2013;; Ecology of sea birds, which inhabit in anthropogenic landscapes;; Apatity;;117-123;; Ecology of sea birds, which inhabit in anthropogenic landscapes;;;; Russian;
;840; N. Y. Ivanenko;2013;; Avifauna of West Murman by the example of Pechenga Bay and Islands of Ainov ;; Apatity;;64-102;; Avifauna of West Murman by the example of Pechenga Bay and Islands of Ainov ;;;; Russian;
;810; Y. V. Krasnov;2013;; The history of native research of sea birds;; Apatity;;7-16;; The history of native research of sea birds;; Barents region, Seabirds studies;; Russian;
;838; Y. V. Krasnov, Goryaev, Yu.I., Ezhov, A.V.;2013;; Avifauna characteristics at the present stage ;; Apatity;;16-38;; Avifauna characteristics at the present stage ;;;; Russian;
;839; Y. V. Krasnov, Goryaev, Yu.I.;2013;; Main tendencies of avifauna development on Kola Bay and its determinants ;; Apatity;;38-64;; Main tendencies of avifauna development on Kola Bay and its determinants ;;;; Russian;
;841; Y. V. Krasnov, Ezhov, A.V.;2013;; Modern condition of kittiwake {Rissa tridactyla) and guillemot (Uria aalge and U. lomvia) population on Murman ;; Apatity;;102-117;; Modern condition of kittiwake {Rissa tridactyla) and guillemot (Uria aalge and U. lomvia) population on Murman ;;;; Russian;
;843; Y. V. Krasnov, Goryaev, Yu.I., Ezhov, A.V.;2013;; Sea birds and waterfowls of the White Sea: seasonal dynamics and distribution features ;; Apatity;;124-158;; Sea birds and waterfowls of the White Sea: seasonal dynamics and distribution features ;;;; Russian;
;902; Y. V. Krasnov;2013; Trudy Kolskogo nauchnogo tsentra (Transactions of the Kola Science Center); Main directions of seabird research of Murmansk Marine Biological Institute KSC RAS in the northern seas of European Russia;;;1;111-127;; Main directions of seabird research of Murmansk Marine Biological Institute KSC RAS in the northern seas of European Russia;;; The main directions of ornithological research of the Murmansk Marine Biological Institute (Russia) in the seas of Northern Europe are considered in this paper. The major results of seabird research at sea and in areas of mass breeding on islands and coasts of the northern seas are presented. The use of aviation facilities in monitoring wintering and molting areas, and migration stopover sites, as well as studies of sex-age structure of some species of seabirds are discussed. Essential outcomes of studying the trophic links of the seabirds of the Barents and White Seas are introduced. ; Russian;
;844; V. V. Kuklin, Kuklina, M.M.;2013;; Helminthofauna of the Barents and Kara Seas birds, and relations in helminthes-seabirds system ;; Apatity;;159-177;; Helminthofauna of the Barents and Kara Seas birds, and relations in helminthes-seabirds system ;;;; Russian;
;845; A. A. Shavykin, Krasnov, Yu.V.;2013;; Birds monitoring in northern seas;; Apatity;;178-209;; Birds monitoring in northern seas;;;; Russia;
;857; Y. A. Badanin;;;Avifauna of the Barents and Kara Seas along the Northern Sea Route in the winter-spring period of 2013;;2014;;3-7;7-14 April;Avifauna of the Barents and Kara Seas along the Northern Sea Route in the winter-spring period of 2013;;;; Russian;
;901; Y. A. Badanin;;;Composition on and distribution on of bird fauna in the Barents and Kara Seas in the winter – spring period of 2013;;2014;1;16-22; May;Composition on and distribution on of bird fauna in the Barents and Kara Seas in the winter – spring period of 2013;;;; Russian;
;897; A. E. Cherenkov, Semashko, V.Yu., Tertitski, G.M.;2014;;Birds of the Solovetsky Islands and the Onega Bay of the White Sea: Materials and Research (1983–2013);; Arkhangelsk;;384;;Birds of the Solovetsky Islands and the Onega Bay of the White Sea: Materials and Research (1983–2013);;;; Russian;
;855; A. V. Ezhov;;; Main threats and possible ways to protect seabird colonies of the Murman Coast;;2015;;69-72;20-21 November; Main threats and possible ways to protect seabird colonies of the Murman Coast;;;; Russian;
;858; A. V. Ezhov;;; Current state of nesting populations of kittiwakes and guillemots on the coast of Murman;;2014;;26-29;7-14 April; Current state of nesting populations of kittiwakes and guillemots on the coast of Murman;;;; Russian;
;859; A. V. Ezhov;;; Numbers of birds and reproductive indices in bird colonies of Murman Coast as an indicator of food availability in the pre-nesting and nesting periods.;;2014;1;67-74;22.mai; Numbers of birds and reproductive indices in bird colonies of Murman Coast as an indicator of food availability in the pre-nesting and nesting periods.;;;; Russian;
;814; Y. V. Krasnov, Shklyarevich, G.A., Sukhotin, A.A.;2014; Doklady Biological Sciences; Feeding habits of Common Eiders Somateria mollissima on the western coast of Vaygach Island;;;459;341-343;; Feeding habits of Common Eiders Somateria mollissima on the western coast of Vaygach Island;;;;;
  Journal Article;827; Y. V. Krasnov;2014; Trudy Kolskogo nauchnogo tsentra (Transactions of the Kola Science Center);Ornithological observations on Hooker Island (Franz-Josef Land) and in neighboring areas in August 1993;;;4;252-263;;Ornithological observations on Hooker Island (Franz-Josef Land) and in neighboring areas in August 1993;;;The article examines results of observations of marine birds on Hooker Island (Franz-Josef Land) in the summer of 1993. On the basis of original data and data taken from published sources, the article makes a retrospective analysis of marine bird colonies in the region. It also discusses data on diets and availability of food for common bird species in the Franz-Josef Land Archipelago. The author also adduces results of standard measurements of common bird species for the archipelago.; Russian;
;829; Y. V. Krasnov, Ezhov, A.V.;2014;; About the response of the Barents Sea seabirds to the current climatic changes;; Arkhangelsk;;103-104;18-19 September 2014;;;;; Russian;
;849; V. V. Anufriev;;; Changes in the waterfowl population of Dolgiy Island (Barents Sea);;2015;;108;30 November - 6 December; Changes in the waterfowl population of Dolgiy Island (Barents Sea);;;; Russian and English;
;850; Y. A. Badanin, Deryabin, A.A.;;;Bird fauna in the Barents and Kara Seas along the Northern Sea Route in the winter and spring of 2013–2014;;2015;;16;1-3 April;Bird fauna in the Barents and Kara Seas along the Northern Sea Route in the winter and spring of 2013–2014;;;; Russian;
;852; A. V. Ezhov;;; Main threats to marine bird colonies on Murman Coast ;;2015;;61-63;1-3 April; Main threats to marine bird colonies on Murman Coast ;;;; Russian;
;856; A. V. Ezhov;2015; Vestnik Kolskogo nauchnogo tsentra (Herald of the Kola Science Center);Results of 15-year monitoring of largest continental Kittiwakes and Guillemots colonies on Murman Coast;;;2;53-58;;Results of 15-year monitoring of largest continental Kittiwakes and Guillemots colonies on Murman Coast;;;; Russian;
;873; M. V. Gavrilo;;;Distribution of the Common Eider (Somateria mollissima) in coastal waters of nothern Novaya Zemlya, Russia, in autumn 2014;;2015;;129;;Distribution of the Common Eider (Somateria mollissima) in coastal waters of nothern Novaya Zemlya, Russia, in autumn 2014;;;; Russian and English;
;874; M. V. Gavrilo;;; On the status of light-bellied brent goose (Branta bernicla hrota) population in the Franz-Josef Land Wildlife Refuge;;2015;;130;30 N0vember-06 December; On the status of light-bellied brent goose (Branta bernicla hrota) population in the Franz-Josef Land Wildlife Refuge;;;; Russian and English;
;875; M. V. Gavrilo;2015;; Breeding distribution patterns of ivory gull in the Russian Arctic and possibilities of monitoring of its populations;; Norilsk;1;232-241;; Breeding distribution patterns of ivory gull in the Russian Arctic and possibilities of monitoring of its populations;;;;;
  Conference Proceedings;851; A. A. Goryaeva;;; Single findings of new feeding sites by birds from the synanthropic assemblage of herring gulls in the outskirts of the city of Murmansk ;;2015;;40-42;1-3 April; Single findings of new feeding sites by birds from the synanthropic assemblage of herring gulls in the outskirts of the city of Murmansk ;;;; Russian;
